Total mapped characters: 362
Code: 0xe3e8, Name: gid58344
Code: 0xe3e9, Name: gid58345
Code: 0xe3ea, Name: gid58346
Code: 0xe3eb, Name: gid58347
Code: 0xe3ec, Name: gid58348
Code: 0xe3ed, Name: gid58349
Code: 0xe3ee, Name: gid58350
Code: 0xe3ef, Name: gid58351
Code: 0xe3f0, Name: gid58352
Code: 0xe3f1, Name: gid58353
Code: 0xe3f2, Name: gid58354
Code: 0xe3f3, Name: gid58355
Code: 0xe3f4, Name: gid58356
Code: 0xe3f5, Name: gid58357
Code: 0xe3f7, Name: gid58359
Code: 0xe3f8, Name: gid58360
Code: 0xe3f9, Name: gid58361
Code: 0xe3fa, Name: gid58362
Code: 0xe3fb, Name: gid58363
Code: 0xe3fc, Name: gid58364
Code: 0xe3fd, Name: gid58365
Code: 0xe400, Name: gid58368
Code: 0xe401, Name: gid58369
Code: 0xe402, Name: gid58370
Code: 0xe403, Name: gid58371
Code: 0xe404, Name: gid58372
Code: 0xe405, Name: gid58373
Code: 0xe406, Name: gid58374
Code: 0xe407, Name: gid58375
Code: 0xe408, Name: gid58376
Code: 0xe409, Name: gid58377
Code: 0xe40a, Name: gid58378
Code: 0xe40b, Name: gid58379
Code: 0xe40c, Name: gid58380
Code: 0xe40d, Name: gid58381
Code: 0xe40e, Name: gid58382
Code: 0xe40f, Name: gid58383
Code: 0xe410, Name: gid58384
Code: 0xe411, Name: gid58385
Code: 0xe412, Name: gid58386
Code: 0xe413, Name: gid58387
Code: 0xe414, Name: gid58388
Code: 0xe415, Name: gid58389
Code: 0xe416, Name: gid58390
Code: 0xe417, Name: gid58391
Code: 0xe418, Name: gid58392
Code: 0xe41a, Name: gid58394
Code: 0xe41b, Name: gid58395
Code: 0xe41c, Name: gid58396
Code: 0xe41d, Name: gid58397
Code: 0xe41e, Name: gid58398
Code: 0xe41f, Name: gid58399
Code: 0xe420, Name: gid58400
Code: 0xe421, Name: gid58401
Code: 0xe422, Name: gid58402
Code: 0xe423, Name: gid58403
Code: 0xe424, Name: gid58404
Code: 0xe425, Name: gid58405
Code: 0xe426, Name: gid58406
Code: 0xe427, Name: gid58407
Code: 0xe428, Name: gid58408
Code: 0xe429, Name: gid58409
Code: 0xe42a, Name: gid58410
Code: 0xe42b, Name: gid58411
Code: 0xe42c, Name: gid58412
Code: 0xe42d, Name: gid58413
Code: 0xe42e, Name: gid58414
Code: 0xe42f, Name: gid58415
Code: 0xe430, Name: gid58416
Code: 0xe431, Name: gid58417
Code: 0xe432, Name: gid58418
Code: 0xe433, Name: gid58419
Code: 0xe434, Name: gid58420
Code: 0xe435, Name: gid58421
Code: 0xe436, Name: gid58422
Code: 0xe437, Name: gid58423
Code: 0xe438, Name: gid58424
Code: 0xe439, Name: gid58425
Code: 0xe43a, Name: gid58426
Code: 0xe43b, Name: gid58427
Code: 0xe43c, Name: gid58428
Code: 0xe43d, Name: gid58429
Code: 0xe43e, Name: gid58430
Code: 0xe43f, Name: gid58431
Code: 0xe440, Name: gid58432
Code: 0xe441, Name: gid58433
Code: 0xe442, Name: gid58434
Code: 0xe443, Name: gid58435
Code: 0xe444, Name: gid58436
Code: 0xe445, Name: gid58437
Code: 0xe446, Name: gid58438
Code: 0xe447, Name: gid58439
Code: 0xe448, Name: gid58440
Code: 0xe449, Name: gid58441
Code: 0xe44a, Name: gid58442
Code: 0xe44b, Name: gid58443
Code: 0xe44c, Name: gid58444
Code: 0xe44d, Name: gid58445
Code: 0xe44e, Name: gid58446
Code: 0xe44f, Name: gid58447
Code: 0xe450, Name: gid58448
Code: 0xe451, Name: gid58449
Code: 0xe452, Name: gid58450
Code: 0xe453, Name: gid58451
Code: 0xe454, Name: gid58452
Code: 0xe455, Name: gid58453
Code: 0xe456, Name: gid58454
Code: 0xe457, Name: gid58455
Code: 0xe458, Name: gid58456
Code: 0xe459, Name: gid58457
Code: 0xe45a, Name: gid58458
Code: 0xe45c, Name: gid58460
Code: 0xe45d, Name: gid58461
Code: 0xe45e, Name: gid58462
Code: 0xe45f, Name: gid58463
Code: 0xe460, Name: gid58464
Code: 0xe461, Name: gid58465
Code: 0xe462, Name: gid58466
Code: 0xe463, Name: gid58467
Code: 0xe464, Name: gid58468
Code: 0xe465, Name: gid58469
Code: 0xe466, Name: gid58470
Code: 0xe467, Name: gid58471
Code: 0xe468, Name: gid58472
Code: 0xe469, Name: gid58473
Code: 0xe46a, Name: gid58474
Code: 0xe46b, Name: gid58475
Code: 0xe46c, Name: gid58476
Code: 0xe46d, Name: gid58477
Code: 0xe46e, Name: gid58478
Code: 0xe46f, Name: gid58479
Code: 0xe470, Name: gid58480
Code: 0xe471, Name: gid58481
Code: 0xe472, Name: gid58482
Code: 0xe473, Name: gid58483
Code: 0xe474, Name: gid58484
Code: 0xe475, Name: gid58485
Code: 0xe476, Name: gid58486
Code: 0xe477, Name: gid58487
Code: 0xe478, Name: gid58488
Code: 0xe479, Name: gid58489
Code: 0xe47a, Name: gid58490
Code: 0xe47b, Name: gid58491
Code: 0xe47c, Name: gid58492
Code: 0xe47d, Name: gid58493
Code: 0xe47e, Name: gid58494
Code: 0xe47f, Name: gid58495
Code: 0xe480, Name: gid58496
Code: 0xe481, Name: gid58497
Code: 0xe482, Name: gid58498
Code: 0xe483, Name: gid58499
Code: 0xe484, Name: gid58500
Code: 0xe485, Name: gid58501
Code: 0xe486, Name: gid58502
Code: 0xe487, Name: gid58503
Code: 0xe488, Name: gid58504
Code: 0xe489, Name: gid58505
Code: 0xe48a, Name: gid58506
Code: 0xe48b, Name: gid58507
Code: 0xe48c, Name: gid58508
Code: 0xe48d, Name: gid58509
Code: 0xe48e, Name: gid58510
Code: 0xe48f, Name: gid58511
Code: 0xe490, Name: gid58512
Code: 0xe491, Name: gid58513
Code: 0xe492, Name: gid58514
Code: 0xe493, Name: gid58515
Code: 0xe494, Name: gid58516
Code: 0xe495, Name: gid58517
Code: 0xe496, Name: gid58518
Code: 0xe497, Name: gid58519
Code: 0xe498, Name: gid58520
Code: 0xe499, Name: gid58521
Code: 0xe49a, Name: gid58522
Code: 0xe49b, Name: gid58523
Code: 0xe49c, Name: gid58524
Code: 0xe49d, Name: gid58525
Code: 0xe49e, Name: gid58526
Code: 0xe49f, Name: gid58527
Code: 0xe4a0, Name: gid58528
Code: 0xe4a1, Name: gid58529
